driverId,constructorId,engineId,lap#,pit,laps after pit,pos,time(min),time(ms)
822,131,0,1,0,1,1,1:33.813,93813
822,131,0,2,0,2,1,1:29.662,89662
822,131,0,3,0,3,1,1:29.246,89246
822,131,0,4,0,4,1,1:28.641,88641
822,131,0,5,0,5,1,1:28.759,88759
822,131,0,6,0,6,1,1:29.034,89034
822,131,0,7,0,7,1,1:28.783,88783
822,131,0,8,0,8,1,1:28.651,88651
822,131,0,9,0,9,1,1:28.664,88664
822,131,0,10,0,10,1,1:29.028,89028
822,131,0,11,0,11,1,1:28.985,88985
822,131,0,12,0,12,1,1:28.633,88633
822,131,0,13,0,13,1,1:28.626,88626
822,131,0,14,0,14,1,1:28.300,88300
822,131,0,15,0,15,1,1:28.217,88217
822,131,0,16,0,16,1,1:28.238,88238
822,131,0,17,0,17,1,1:28.377,88377
822,131,0,18,0,18,1,1:28.203,88203
822,131,0,19,0,19,1,1:27.836,87836
822,131,0,20,0,20,1,1:27.832,87832
822,131,0,21,0,21,1,1:27.815,87815
822,131,0,22,0,22,1,1:28.531,88531
822,131,0,23,1,0,2,1:46.050,106050
822,131,0,24,0,1,2,1:33.805,93805
822,131,0,25,0,2,1,1:27.338,87338
822,131,0,26,0,3,1,1:27.450,87450
822,131,0,27,0,4,1,1:27.757,87757
822,131,0,28,0,5,1,1:27.511,87511
822,131,0,29,0,6,1,1:27.659,87659
822,131,0,30,0,7,1,1:27.537,87537
822,131,0,31,0,8,1,1:27.235,87235
822,131,0,32,0,9,1,1:27.266,87266
822,131,0,33,0,10,1,1:27.362,87362
822,131,0,34,0,11,1,1:27.927,87927
822,131,0,35,0,12,1,1:27.610,87610
822,131,0,36,0,13,1,1:27.465,87465
822,131,0,37,0,14,1,1:27.108,87108
822,131,0,38,0,15,1,1:27.358,87358
822,131,0,39,0,16,1,1:27.735,87735
822,131,0,40,0,17,1,1:27.273,87273
822,131,0,41,0,18,1,1:27.043,87043
822,131,0,42,0,19,1,1:26.739,86739
822,131,0,43,0,20,1,1:27.397,87397
822,131,0,44,0,21,1,1:27.540,87540
822,131,0,45,0,22,1,1:27.580,87580
822,131,0,46,0,23,1,1:27.491,87491
822,131,0,47,0,24,1,1:27.323,87323
822,131,0,48,0,25,1,1:27.184,87184
822,131,0,49,0,26,1,1:27.071,87071
822,131,0,50,0,27,1,1:27.238,87238
822,131,0,51,0,28,1,1:28.090,88090
822,131,0,52,0,29,1,1:29.226,89226
822,131,0,53,0,30,1,1:27.172,87172
822,131,0,54,0,31,1,1:27.608,87608
822,131,0,55,0,32,1,1:26.830,86830
822,131,0,56,0,33,1,1:28.732,88732
822,131,0,57,0,34,1,1:25.580,85580
822,131,0,58,0,35,1,1:28.161,88161
1,131,0,1,0,1,2,1:34.887,94887
1,131,0,2,0,2,2,1:29.759,89759
1,131,0,3,0,3,2,1:29.332,89332
1,131,0,4,0,4,2,1:28.804,88804
1,131,0,5,0,5,2,1:28.914,88914
1,131,0,6,0,6,2,1:29.475,89475
1,131,0,7,0,7,2,1:29.150,89150
1,131,0,8,0,8,2,1:29.208,89208
1,131,0,9,0,9,2,1:29.170,89170
1,131,0,10,0,10,2,1:29.341,89341
1,131,0,11,0,11,2,1:28.784,88784
1,131,0,12,0,12,2,1:28.733,88733
1,131,0,13,0,13,2,1:28.616,88616
1,131,0,14,0,14,2,1:28.495,88495
1,131,0,15,1,0,4,1:46.079,106079
1,131,0,16,0,1,4,1:35.642,95642
1,131,0,17,0,2,4,1:28.801,88801
1,131,0,18,0,3,4,1:28.667,88667
1,131,0,19,0,4,4,1:29.367,89367
1,131,0,20,0,5,4,1:29.334,89334
1,131,0,21,0,6,4,1:28.191,88191
1,131,0,22,0,7,4,1:28.666,88666
1,131,0,23,0,8,4,1:28.754,88754
1,131,0,24,0,9,4,1:28.496,88496
1,131,0,25,0,10,3,1:28.634,88634
1,131,0,26,0,11,3,1:27.982,87982
1,131,0,27,0,12,3,1:28.674,88674
1,131,0,28,0,13,2,1:28.913,88913
1,131,0,29,0,14,2,1:28.681,88681
1,131,0,30,0,15,2,1:28.507,88507
1,131,0,31,0,16,2,1:28.320,88320
1,131,0,32,0,17,2,1:27.954,87954
1,131,0,33,0,18,2,1:27.771,87771
1,131,0,34,0,19,2,1:27.538,87538
1,131,0,35,0,20,2,1:27.376,87376
1,131,0,36,0,21,2,1:27.553,87553
1,131,0,37,0,22,2,1:28.356,88356
1,131,0,38,0,23,2,1:28.149,88149
1,131,0,39,0,24,2,1:28.043,88043
1,131,0,40,0,25,2,1:28.196,88196
1,131,0,41,0,26,2,1:28.282,88282
1,131,0,42,0,27,2,1:27.576,87576
1,131,0,43,0,28,2,1:27.927,87927
1,131,0,44,0,29,2,1:27.760,87760
1,131,0,45,0,30,2,1:27.610,87610
1,131,0,46,0,31,2,1:27.567,87567
1,131,0,47,0,32,2,1:27.098,87098
1,131,0,48,0,33,2,1:27.224,87224
1,131,0,49,0,34,2,1:27.728,87728
1,131,0,50,0,35,2,1:27.567,87567
1,131,0,51,0,36,2,1:27.653,87653
1,131,0,52,0,37,2,1:27.933,87933
1,131,0,53,0,38,2,1:27.134,87134
1,131,0,54,0,39,2,1:27.190,87190
1,131,0,55,0,40,2,1:27.042,87042
1,131,0,56,0,41,2,1:26.924,86924
1,131,0,57,0,42,2,1:26.057,86057
1,131,0,58,0,43,2,1:26.627,86627
20,6,1,1,0,1,3,1:35.626,95626
20,6,1,2,0,2,3,1:30.095,90095
20,6,1,3,0,3,3,1:29.371,89371
20,6,1,4,0,4,3,1:29.124,89124
20,6,1,5,0,5,3,1:29.310,89310
20,6,1,6,0,6,3,1:29.666,89666
20,6,1,7,0,7,3,1:29.418,89418
20,6,1,8,0,8,3,1:29.557,89557
20,6,1,9,0,9,3,1:29.282,89282
20,6,1,10,0,10,3,1:29.394,89394
20,6,1,11,0,11,3,1:29.246,89246
20,6,1,12,0,12,3,1:29.102,89102
20,6,1,13,0,13,3,1:28.789,88789
20,6,1,14,1,0,5,1:46.627,106627
20,6,1,15,0,1,5,1:33.692,93692
20,6,1,16,0,2,5,1:27.954,87954
20,6,1,17,0,3,5,1:28.561,88561
20,6,1,18,0,4,5,1:28.657,88657
